1,3022276,"CLIPFIX 35-5"
2,3208582,"PT 1,5/S/1P"
3,3209549,"PT 2,5 TWIN"
4,3209552,"PT 2,5 TWIN BU"
5,3209565,"PT 2,5 TWIN PE"
6,3209633,"PT 2,5-TWIN/1P"
7,3209646,"PT 2,5-TWIN/1P BU"
8,3209659,"PT 2,5-TWIN/1P PE"
9,3209578,"PT 2,5-QUATTRO"
10,3030514,"D-ST2,5-QUATTRO"
11,3209581,"PT 2,5-QUATTRO BU"
12,3209594,"PT 2,5-QUATTRO-PE"
13,3209662,"PT 2,5-QUATTRO/2P"
14,3040083,"D-ST 2,5-QUATTRO/2P"
15,3209675,"PT 2,5-QUATTRO/2P BU"
16,3209688,"PT 2,5-QUATTRO/2P PE"
17,3210208,"PT 2,5-QUATTRO-TG"
18,3210525,"PT 2,5-3PE"
19,3211780,"PT 4-TWIN-PE"
20,3211797,"PT 4-QUATTRO"
21,3211802,"PT 4-QUATTRO BU"
22,3211809,"PT 4-QUATTRO PE"
23,3211991,"PT 4-QUATTRO/2P"
24,3212000,"PT 4-QUATTRO/2P-BU"
25,3211999,"PT 4-QUATTRO/2P-PE"
26,3212200,"PT 4-TWIN/1P"
27,3212201,"PT 4-TWIN/1P BU"
28,3212202,"PT 4-TWIN/1P PE"
29,3061826,"PT 6-QUATTRO/2P"
30,3061839,"PT 6-QUATTRO/2P BU"
31,3061842,"PT 6-QUATTRO/2P PE"
32,3212934,"PT 6-QUATTRO"
33,3212947,"PT 6-QUATTRO BU"
34,3212950,"PT 6-QUATTRO PE"
35,3035328,"ST 16-TWIN"
36,3035331,"ST 16-TWIN BU"
37,3035344,"ST 16-TWIN PE"
38,3036165,"ST 16-PE"
39,3212147,"PT 16 N-PE"
40,3270160,"PTRVB-8-FI/BK"
